author;revision;;Count of Day;Number of days;date;date;time;Count of Date;Number of Date;number_of_lines;;comment;;;;;
Jimmy;r1535957;Friday;;;23/10/2015;Oct;10:00:03;;;1;1;Added incompatibilty fragment;;;;;
Jimmy;r1535594;Thursday;;;22/10/2015;Oct;14:42:26;;;1;1;Lint fix;;;;;
Jimmy;r1535593;Thursday;;;22/10/2015;Oct;14:40:39;;;1;1;Added incpmpatible legacy client parameter;;;;;
Jimmy;r1535587;Thursday;;;22/10/2015;Oct;14:35:31;;;1;1;Lint fix;;;;;
Jimmy;r1535571;Thursday;;;22/10/2015;Oct;14:23:01;;;1;1;Removed unused resources;;;;;
Jimmy;r1535537;Thursday;;;22/10/2015;Oct;14:08:58;;;1;1;lint fix;;;;;
Jimmy;r1535523;Thursday;;;22/10/2015;Oct;13:52:30;;;1;1;Enabled BT module;;;;;
Jimmy;r1535517;Thursday;;;22/10/2015;Oct;13:42:47;;;1;1;BT Addition;;;;;
Jimmy;r1535516;Thursday;;;22/10/2015;Oct;13:36:58;;;1;1;Widget colors;;;;;
Jimmy;r1535453;Thursday;;;22/10/2015;Oct;11:26:04;;;1;1;Widget;;;;;
Jimmy;r1535452;Thursday;;;22/10/2015;Oct;11:25:35;;;1;1;Widget;;;;;
Jimmy;r1535451;Thursday;;;22/10/2015;Oct;11:25:18;;;1;1;Widget;;;;;
Thomas;r1533128;Friday;;;16/10/2015;Oct;11:55:48;;;2;1;Merge from android-15.2-solutions-att PHONE-1409: Phone - Scheduled Maintenance Not Working as Expected;;;;;
Thomas;r1533115;Friday;;;16/10/2015;Oct;11:32:58;;;1;1;FTRPC-117: Frontier Android Handset || App icon is not matching as per Branding parameters;;;;;
Thomas;r1533097;Friday;;;16/10/2015;Oct;11:13:18;;;1;1;Added AMXPC jira project to jira report;;;;;
Thomas;r1533092;Friday;;;16/10/2015;Oct;11:04:56;;;1;1;Updated build files to support Jira reports per clients;;;;;
Thomas;r1532755;Thursday;;;15/10/2015;Oct;16:50:56;;;2;1;FTRPC-118: Frontier Android Handset || About screen is loading forever ;;;;;
Jimmy;r1532018;Wednesday;;;14/10/2015;Oct;14:51:25;;;1;1;Widget update;;;;;
Jimmy;r1532015;Wednesday;;;14/10/2015;Oct;14:49:17;;;1;1;Widget update;;;;;
Jimmy;r1531912;Wednesday;;;14/10/2015;Oct;12:50:27;;;1;1;Re enabled client modules;;;;;
Jimmy;r1531903;Wednesday;;;14/10/2015;Oct;12:40:19;;;1;1;Spike for app removal;;;;;
